Country,Name,Profession,Influence Score
India,Bobby Jindal, Elected Officials,416295
India,Muzaffar Alam, Scholars,27792
India,Faz Husain, Elected Officials,27762
India,Ranji H. Nagaswami, Business Executives,27658
India,Mish Michaels, Media,27565
India,Harish, Mathematicians,27504
India,Dr. Amitabha Ghosh, Science and technology,27490
India,Benny Mathews, Activists/Civil Rights,27400
India,Deepti Hajela, Media,27312
India,Harry Sidhu, Elected Officials,27185
India,Kevin Negandhi, Media,27070
India,Devika Parikh, Actors and actresses,26801
India,Lakshmi Narayanan, Former,26699
India,Faris McReynolds, Activists/Civil Rights,26664
India,Tanveer K. Atwal, Actors and actresses,26115
India,Shekar Narasimhan, Civil Servants,25818
India,Babu Subramaniam, Activists/Civil Rights,25745
India,Arun Jhaveri, Elected Officials,25640
India,Narendra Patni, Founders / Entrepreneurs / Venture Capitalists,25632
India,Bobby Mehta, Business Executives,25090
India,Rakesh Gangwal, Former,24858
India,John Abraham, Elected Officials,23691
India,Vijay Kumar, Dean/President,22845
India,Inder Singh, Activists/Civil Rights,22767
India,Sanjay Kumar, Former,21863
India,Rajiv Gupta, Business Executives,21798
India,Sonal Shah, Actors and actresses,21755
India,Mathai, Musicians,21101
China,Jeremy Lin, Sports,568801
China,Charles K. Kao, Civil Rights,325584
China,Wong Kim Ark, Civil Rights,319277
China,Brian Ching, Sports,307689
China,Michelle Kwan, Sports,266097
China,Maya Lin, Arts,258551
China,Bruce Lee, Entertainment,256813
China,I. M. Pei, Arts,246756
China,Ang Lee, Entertainment,239827
China,Michael Chang, Sports,233276
China,Leland Yee, Politics and government,220746
China,Nancy Kwan, Entertainment,216011
China,Vania King, Sports,215148
China,Steven Chu, Politics and government,196146
China,Steven Chu, Civil Rights,196146
China,Nathan Adrian, Sports,193968
China,Wilber Pan, Music,188187
China,Lucy Liu, Entertainment,188061
China,Elaine Chao, Politics and government,182851
China,Anna May Wong, Entertainment,174120
China,Joan Chen, Entertainment,173620
China,Chen Ning Yang, Civil Rights,171773
China,Shiing-Shen Chern, Civil Rights,171600
China,Leehom Wang, Entertainment,169116
China,Leehom Wang, Music,169116
China,Yuan T. Lee, Civil Rights,166141
China,Caroline Zhang, Sports,165032
China,Judy Chu, Politics and government,163535
China,Malan Breton, Fashion design,162218
China,Roger Y. Tsien, Civil Rights,157814
China,Kelis, Music,152716
China,Gary Locke, Politics and government,146524
China,Charles Mingus, Music,135424
China,Grace Meng, Politics and government,132462
China,Johnny Chan, Sports,131891
China,Olivia Munn, Entertainment,131077
China,Jennifer Tilly, Entertainment,130522
China,Kelly Hu, Entertainment,129305
China,Jason Tom, Music,127600
China,Tony Hwang, Politics and government,126516
China,Sam Tsui, Music,123818
China,Justin Lin, Entertainment,122795
China,Norm Chow, Sports,119165
China,Andrea Jung, Business,117394
China,Kevin Wu, Entertainment,116965
China,Paul C. W. Chu, Civil Rights,116948
China,Daniel Wu, Entertainment,116303
China,Wenjian Liu, Politics and government,116159
